Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
1618803000000,56814.48000000,56849.28000000,56807.25000000,56840.01000000,30.70800700,1618803059999,1745087.45118605,1059,16.24383000,923095.67188635,0
1618803060000,56840.01000000,56907.62000000,56840.00000000,56902.52000000,34.67683700,1618803119999,1972366.55195418,1799,17.98629000,1023016.73102901,0
1618803120000,56902.53000000,56928.60000000,56866.53000000,56873.15000000,37.05409900,1618803179999,2107996.19489566,1317,22.44655500,1276889.35482808,0
1618803180000,56873.15000000,56933.01000000,56855.21000000,56904.60000000,45.63288200,1618803239999,2596408.54464699,1504,15.63697300,889792.15951499,0
1618803240000,56904.61000000,56965.51000000,56904.60000000,56965.51000000,31.98837100,1618803299999,1821591.96983989,1101,14.44464500,822544.72183328,0
1618803300000,56965.50000000,56994.63000000,56955.01000000,56982.70000000,44.29274500,1618803359999,2523676.08027768,1775,25.97990900,1480197.79966674,0
1618803360000,56982.70000000,56989.88000000,56936.88000000,56952.69000000,22.85257800,1618803419999,1301722.87395944,904,5.79995900,330360.27218487,0
1618803420000,56952.68000000,57008.52000000,56929.94000000,57002.26000000,35.91837300,1618803479999,2046720.00118458,1351,21.31527800,1214601.84274807,0
1618803480000,57002.26000000,57010.97000000,57000.21000000,57006.39000000,30.31828600,1618803539999,1728346.01961175,1215,17.65942600,1006708.35354785,0
1618803540000,57006.40000000,57019.44000000,57003.92000000,57019.44000000,31.88348700,1618803599999,1817753.26416216,1233,15.18652900,865807.74085959,0
1618803600000,57019.43000000,57070.68000000,57019.43000000,57066.39000000,36.50723400,1618803659999,2082877.86757068,1253,15.69281900,895352.97069651,0
1618803660000,57066.39000000,57066.40000000,56975.01000000,56985.33000000,48.05235100,1618803719999,2739729.28969145,1548,27.95901800,1594061.39639222,0
1618803720000,56985.33000000,57100.00000000,56985.32000000,57099.99000000,35.35842800,1618803779999,2017380.75512553,1487,15.88502300,906311.18048106,0
1618803780000,57099.99000000,57122.04000000,57088.10000000,57122.03000000,39.63095700,1618803839999,2263121.95141802,1551,25.36351000,1448340.62127357,0
1618803840000,57122.03000000,57128.37000000,57073.73000000,57117.12000000,53.26214300,1618803899999,3041689.87459714,1642,25.48589600,1455412.08392706,0
1618803900000,57117.12000000,57123.63000000,57090.44000000,57100.02000000,44.62754600,1618803959999,2548590.97188539,1419,24.32016600,1388874.00192777,0
1618803960000,57100.02000000,57124.45000000,57061.69000000,57080.92000000,35.67153100,1618804019999,2036745.05110696,1208,12.05121900,688106.12156337,0
1618804020000,57080.93000000,57148.96000000,57054.64000000,57143.06000000,31.46040900,1618804079999,1796228.34026370,1578,16.74845400,956262.58407547,0
1618804080000,57143.06000000,57199.00000000,57139.16000000,57164.52000000,60.50894700,1618804139999,3459627.85390742,1627,34.12573600,1951270.37498178,0
1618804140000,57164.52000000,57258.50000000,57147.27000000,57256.76000000,151.39717700,1618804199999,8664600.46381738,2524,44.29294600,2533981.31082803,0
1618804200000,57256.76000000,57291.00000000,57177.23000000,57182.57000000,77.66112400,1618804259999,4446493.93987297,2141,44.53760100,2550176.45468184,0
1618804260000,57182.57000000,57235.41000000,57169.98000000,57233.21000000,34.44532500,1618804319999,1970553.68061495,1364,20.45427900,1170098.00738641,0
1618804320000,57233.21000000,57233.22000000,57185.28000000,57217.41000000,32.76073400,1618804379999,1874060.81772229,1256,9.50318800,543603.00699177,0
1618804380000,57217.40000000,57217.41000000,57133.35000000,57144.49000000,19.88703100,1618804439999,1136859.36240198,1470,8.32931400,476121.56966234,0
1618804440000,57141.16000000,57150.00000000,57099.93000000,57101.93000000,17.42513700,1618804499999,995334.84581966,1322,9.69246300,553660.21139094,0
1618804500000,57101.94000000,57134.20000000,57084.43000000,57126.73000000,36.03464100,1618804559999,2057911.53069773,1444,20.01397200,1143055.98908420,0
1618804560000,57126.72000000,57145.00000000,57091.25000000,57096.84000000,30.77648900,1618804619999,1758060.67612514,1279,18.57165500,1060952.10124040,0
1618804620000,57096.84000000,57099.99000000,57042.89000000,57047.41000000,34.74922900,1618804679999,1983549.51452692,1280,12.81605800,731577.93441010,0
1618804680000,57047.40000000,57057.91000000,57019.23000000,57023.27000000,31.67705500,1618804739999,1806632.83016795,1346,15.55190500,886940.58228264,0
1618804740000,57022.81000000,57034.31000000,57014.01000000,57024.77000000,37.81726200,1618804799999,2156475.30705480,988,12.88150200,734542.63410677,0
